vessel_id,mmsi,imo,vessel_type,hull_area_m2,coating,timestamp,date,lat,lon,mean_speed_knots,vessel_speed,idle_hours,idle_time,stop_duration,sst_c,sea_temperature,sss_psu,salinity,chlor_a_mg_m3,wind_speed_mps,wind_dir_deg,wind_direction,curr_speed_mps,curr_dir,current_speed,current_direction,ocean_current,voyage_id,last_clean_date,days_since_clean,fouling_percent,fouling_class,fuel_consumption_tpd
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-01 12:00:00,2024-01-01,3.821248,91.850316,8.17,8.17,1.12,1.12,0.0,23.65,23.65,36.51,36.51,0.717,4.87,273.9,273.9,0.94,177.8,0.94,177.8,0.94,VG_VSL_2000_2024_2091,2023-11-18,44,82.49,high,0.422
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-02 12:00:00,2024-01-02,2.656586,93.358504,11.64,11.64,0.91,0.91,0.0,23.25,23.25,35.64,35.64,1.024,14.55,73.1,73.1,0.49,250.1,0.49,250.1,0.49,VG_VSL_2000_2024_3521,2023-10-19,75,100.0,high,1.207
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-03 12:00:00,2024-01-03,3.046221,91.399008,11.27,11.27,2.36,2.36,2.36,23.13,23.13,34.46,34.46,0.934,6.16,98.0,98.0,0.0,59.3,0.0,59.3,0.0,VG_VSL_2000_2024_2136,2023-10-02,93,100.0,high,1.11
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-04 12:00:00,2024-01-04,3.062439,93.721441,11.47,11.47,0.8,0.8,0.0,22.94,22.94,37.11,37.11,0.489,1.48,108.3,108.3,0.47,18.5,0.47,18.5,0.47,VG_VSL_2000_2024_1115,2023-07-27,161,100.0,high,1.158
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-05 12:00:00,2024-01-05,2.983022,93.585703,11.98,11.98,1.23,1.23,0.0,23.15,23.15,36.16,36.16,0.019,11.57,227.6,227.6,0.64,32.5,0.64,32.5,0.64,VG_VSL_2000_2024_3341,2023-08-01,157,100.0,high,1.524
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-06 12:00:00,2024-01-06,3.284503,92.67817,14.74,14.74,1.37,1.37,0.0,23.32,23.32,36.64,36.64,0.757,0.0,301.6,301.6,0.84,75.3,0.84,75.3,0.84,VG_VSL_2000_2024_2166,2023-10-22,76,100.0,high,2.672
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-07 12:00:00,2024-01-07,2.497402,93.450869,16.18,16.18,0.3,0.3,0.0,24.45,24.45,36.17,36.17,0.242,2.64,261.3,261.3,0.65,30.3,0.65,30.3,0.65,VG_VSL_2000_2024_647,2023-08-21,139,100.0,high,3.427
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-08 12:00:00,2024-01-08,2.80731,95.416847,13.52,13.52,0.28,0.28,0.0,22.99,22.99,36.18,36.18,1.195,4.29,233.9,233.9,0.59,204.6,0.59,204.6,0.59,VG_VSL_2000_2024_375,2023-08-10,151,100.0,high,1.807
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-09 12:00:00,2024-01-09,3.668153,93.556987,12.19,12.19,2.6,2.6,2.6,21.65,21.65,33.73,33.73,1.319,10.87,311.1,311.1,0.45,205.9,0.45,205.9,0.45,VG_VSL_2000_2024_3074,2023-11-16,54,95.05,high,1.431
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-10 12:00:00,2024-01-10,3.35028,93.906288,10.88,10.88,3.37,3.37,3.37,24.55,24.55,32.08,32.08,0.702,7.17,27.1,27.1,0.14,96.7,0.14,96.7,0.14,VG_VSL_2000_2024_1941,2023-11-15,56,100.0,high,1.068
